1	149485.84	148339.54	147317.89
2	170548.73	169540.99	169382.4
3	256937.18	257898.17	257277.56
4	323809.45	324715.81	324543.14
5	412735.14	413308.94	413766.15
6	479067.82	479672.92	479371.66
7	563212.04	563053.63	563231.25
8	630125.45	630958.83	630518.91
9	715646.42	717249.79	717665.11
10	786192.6	784796.33	786895.34
11	868157.74	869560.47	869626.42
12	937557.44	936892.95	937231.69
13	1023120.3	1025542.4	1024797.01
14	1090744.43	1088467.34	1089567.84
15	1173990.79	1173893.16	1172894.43
16	1238375.91	1240871.86	1236614.63
17	1317654.42	1320344.21	1318489.62
18	1386434.59	1384009.32	1383137.18
19	1469036.36	1465480.35	1463964.05
20	1531552.26	1529745.88	1528282.71
21	1621912.41	1616991.88	1613623.39
22	1626207.79	1675595.9	1662527.74
23	1744723.56	1735539.82	1735336.76
24	1790680.66	1802042.41	1775256.4
25	1863504.08	1868182.19	1843993.96
26	1920583.32	1943120.37	1952744.06
27	1977988.73	1921153.3	1999895.19
28	2062974.52	2059959.38	2048664.5
29	2133378.87	2122521.17	2110182.81
30	2178135.61	2180876.85	2164010.59
31	2224796.2	2273186.76	2265079.21
