total size of logs: 5489.98 MB, # of entries:213209598
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 205594956
Thread 2 gets started, coreid: 2, offset: 411189912
Thread 3 gets started, coreid: 3, offset: 616784868
Thread 4 gets started, coreid: 4, offset: 822379824
Thread 5 gets started, coreid: 5, offset: 1027974780
Thread 6 gets started, coreid: 6, offset: 1233569736
Thread 7 gets started, coreid: 7, offset: 1439164692
Thread 8 gets started, coreid: 8, offset: 1644759648
Thread 9 gets started, coreid: 9, offset: 1850354604
Thread 10 gets started, coreid: 10, offset: 2055949560
Thread 11 gets started, coreid: 11, offset: 2261544516
Thread 12 gets started, coreid: 12, offset: 2467139472
Thread 13 gets started, coreid: 13, offset: 2672734428
Thread 14 gets started, coreid: 14, offset: 2878329384
Thread 15 gets started, coreid: 15, offset: 3083924340
Thread 16 gets started, coreid: 16, offset: 3289519296
Thread 17 gets started, coreid: 17, offset: 3495114252
Thread 18 gets started, coreid: 18, offset: 3700709208
Thread 19 gets started, coreid: 19, offset: 3906304164
Thread 20 gets started, coreid: 20, offset: 4111899120
Thread 21 gets started, coreid: 21, offset: 4317494076
Thread 22 gets started, coreid: 22, offset: 4523089032
Thread 23 gets started, coreid: 23, offset: 4728683988
Thread 24 gets started, coreid: 24, offset: 4934278944
Thread 25 gets started, coreid: 25, offset: 5139873900
Thread 26 gets started, coreid: 26, offset: 5345468856
Thread 27 gets started, coreid: 27, offset: 5551063812
[cost of second: 2.155, # of PUTs: 7629501]Thread: 1, coreid: 1 is completed!
[cost of second: 2.179, # of PUTs: 7629501]Thread: 0, coreid: 0 is completed!
[cost of second: 2.537, # of PUTs: 7629501]Thread: 2, coreid: 2 is completed!
[cost of second: 2.669, # of PUTs: 7629501]Thread: 24, coreid: 24 is completed!
[cost of second: 2.695, # of PUTs: 7629501]Thread: 25, coreid: 25 is completed!
[cost of second: 2.706, # of PUTs: 7629501]Thread: 26, coreid: 26 is completed!
[cost of second: 2.712, # of PUTs: 7629515]Thread: 27, coreid: 27 is completed!
[cost of second: 2.821, # of PUTs: 7629501]Thread: 3, coreid: 3 is completed!
[cost of second: 2.865, # of PUTs: 7629501]Thread: 20, coreid: 20 is completed!
[cost of second: 2.875, # of PUTs: 7629501]Thread: 18, coreid: 18 is completed!
[cost of second: 2.89, # of PUTs: 7629501]Thread: 22, coreid: 22 is completed!
[cost of second: 2.895, # of PUTs: 7629501]Thread: 21, coreid: 21 is completed!
[cost of second: 2.918, # of PUTs: 7629501]Thread: 7, coreid: 7 is completed!
[cost of second: 2.908, # of PUTs: 7629501]Thread: 19, coreid: 19 is completed!
[cost of second: 2.904, # of PUTs: 7629501]Thread: 23, coreid: 23 is completed!
[cost of second: 2.918, # of PUTs: 7629501]Thread: 16, coreid: 16 is completed!
[cost of second: 2.921, # of PUTs: 7629501]Thread: 17, coreid: 17 is completed!
[cost of second: 2.941, # of PUTs: 7629501]Thread: 10, coreid: 10 is completed!
[cost of second: 2.942, # of PUTs: 7629501]Thread: 11, coreid: 11 is completed!
[cost of second: [cost of second: 2.946, # of PUTs: 7629501]Thread: 15, coreid: 15 is completed!
2.957, # of PUTs: 7629501]Thread: 4, coreid: 4 is completed!
[cost of second: 2.959, # of PUTs: 7629501]Thread: 6, coreid: 6 is completed!
[cost of second: 2.96, # of PUTs: 7629501]Thread: 5, coreid: 5 is completed!
[cost of second: 2.953, # of PUTs: 7629501]Thread: 12, coreid: 12 is completed!
[cost of second: 2.971, # of PUTs: 7629501]Thread: 8, coreid: 8 is completed!
[cost of second: 2.977, # of PUTs: 7629501]Thread: 9, coreid: 9 is completed!
[cost of second: 2.976, # of PUTs: 7629501]Thread: 14, coreid: 14 is completed!
[cost of second: 2.983, # of PUTs: 7629501]Thread: 13, coreid: 13 is completed!
Time Taken : 2992 millis
Replay Exec Spent 2.99291 sec for txns: 5777144
Throughput : 1.93027e+06 ops/sec
