total size of logs: 5172.73 MB, # of entries:200888907
Thread 1 gets started, coreid: 1, offset: 187034481
Thread 2 gets started, coreid: 2, offset: 374068962
Thread 3 gets started, coreid: 3, offset: 561103443
Thread 0 gets started, coreid: 0, offset: 0
Thread 4 gets started, coreid: 4, offset: 748137924
Thread 5 gets started, coreid: 5, offset: 935172405
Thread 6 gets started, coreid: 6, offset: 1122206886
Thread 7 gets started, coreid: 7, offset: 1309241367
Thread 8 gets started, coreid: 8, offset: 1496275848
Thread 9 gets started, coreid: 9, offset: 1683310329
Thread 10 gets started, coreid: 10, offset: 1870344810
Thread 11 gets started, coreid: 11, offset: 2057379291
Thread 12 gets started, coreid: 12, offset: 2244413772
Thread 13 gets started, coreid: 13, offset: 2431448253
Thread 14 gets started, coreid: 14, offset: 2618482734
Thread 15 gets started, coreid: 15, offset: 2805517215
Thread 16 gets started, coreid: 16, offset: 2992551696
Thread 17 gets started, coreid: 17, offset: 3179586177
Thread 18 gets started, coreid: 18, offset: 3366620658
Thread 19 gets started, coreid: 19, offset: 3553655139
Thread 20 gets started, coreid: 20, offset: 3740689620
Thread 21 gets started, coreid: 21, offset: 3927724101
Thread 22 gets started, coreid: 22, offset: 4114758582
Thread 23 gets started, coreid: 23, offset: 4301793063
Thread 24 gets started, coreid: 24, offset: 4488827544
Thread 25 gets started, coreid: 25, offset: 4675862025
Thread 26 gets started, coreid: 26, offset: 4862896506
Thread 27 gets started, coreid: 27, offset: 5049930987
Thread 28 gets started, coreid: 28, offset: 5236965468
[cost of second: 1.891, # of PUTs: 6940753]Thread: 28, coreid: 28 is completed!
[cost of second: 1.966, # of PUTs: 6940733]Thread: 0, coreid: 0 is completed!
[cost of second: 1.992, # of PUTs: 6940733]Thread: 1, coreid: 1 is completed!
[cost of second: 2.07, # of PUTs: 6940733]Thread: 2, coreid: 2 is completed!
[cost of second: 2.473, # of PUTs: 6940733]Thread: 3, coreid: 3 is completed!
[cost of second: 2.468, # of PUTs: 6940733]Thread: 25, coreid: 25 is completed!
[cost of second: 2.47, # of PUTs: 6940733]Thread: 24, coreid: 24 is completed!
[cost of second: 2.485, # of PUTs: 6940733]Thread: 26, coreid: 26 is completed!
[cost of second: 2.486, # of PUTs: 6940733]Thread: 27, coreid: 27 is completed!
[cost of second: 2.589, # of PUTs: 6940733]Thread: 22, coreid: 22 is completed!
[cost of second: 2.607, # of PUTs: 6940733]Thread: 5, coreid: 5 is completed!
[cost of second: 2.61, # of PUTs: 6940733]Thread: 6, coreid: 6 is completed!
[cost of second: 2.609, # of PUTs: 6940733]Thread: 7, coreid: 7 is completed!
[cost of second: 2.614, # of PUTs: 6940733]Thread: 4, coreid: 4 is completed!
[cost of second: 2.609, # of PUTs: 6940733]Thread: 21, coreid: 21 is completed!
[cost of second: 2.611, # of PUTs: 6940733]Thread: 20, coreid: 20 is completed!
[cost of second: 2.617, # of PUTs: 6940733]Thread: 16, coreid: 16 is completed!
[cost of second: 2.622, # of PUTs: 6940733]Thread: 19, coreid: 19 is completed!
[cost of second: 2.621, # of PUTs: 6940733]Thread: 23, coreid: 23 is completed!
[cost of second: 2.636, # of PUTs: 6940733]Thread: 17, coreid: 17 is completed!
[cost of second: 2.635, # of PUTs: 6940733]Thread: 18, coreid: 18 is completed!
[cost of second: 2.651, # of PUTs: 6940733]Thread: 12, coreid: 12 is completed!
[cost of second: 2.665, # of PUTs: 6940733]Thread: 10, coreid: 10 is completed!
[cost of second: 2.668, # of PUTs: 6940733]Thread: 11, coreid: 11 is completed!
[cost of second: 2.667, # of PUTs: 6940733]Thread: 14, coreid: 14 is completed!
[cost of second: 2.668, # of PUTs: 6940733]Thread: 13, coreid: 13 is completed!
[cost of second: 2.693, # of PUTs: 6940733]Thread: 8, coreid: 8 is completed!
[cost of second: 2.72, # of PUTs: 6940733]Thread: 9, coreid: 9 is completed!
[cost of second: 2.721, # of PUTs: 6940733]Thread: 15, coreid: 15 is completed!
Time Taken : 2733 millis
Replay Exec Spent 2.73304 sec for txns: 5469056
Throughput : 2.00109e+06 ops/sec
