total size of logs: 4489.07 MB, # of entries:174338331
Thread Thread 1 gets started, coreid: 0 gets started, coreid: 10, offset: , offset: 0204658029

Thread 2 gets started, coreid: 2, offset: 409316058
Thread 3 gets started, coreid: 3, offset: 613974087
Thread 4 gets started, coreid: 4, offset: 818632116
Thread 5 gets started, coreid: 5, offset: 1023290145
Thread 6 gets started, coreid: 6, offset: 1227948174
Thread 7 gets started, coreid: 7, offset: 1432606203
Thread 8 gets started, coreid: 8, offset: 1637264232
Thread 9 gets started, coreid: 9, offset: 1841922261
Thread 10 gets started, coreid: 10, offset: 2046580290
Thread 11 gets started, coreid: 11, offset: 2251238319
Thread 12 gets started, coreid: 12, offset: 2455896348
Thread 13 gets started, coreid: 13, offset: 2660554377
Thread 14 gets started, coreid: 14, offset: 2865212406
Thread 15 gets started, coreid: 15, offset: 3069870435
Thread 16 gets started, coreid: 16, offset: 3274528464
Thread 17 gets started, coreid: 17, offset: 3479186493
Thread 18 gets started, coreid: 18, offset: 3683844522
Thread 19 gets started, coreid: 19, offset: 3888502551
Thread 20 gets started, coreid: 20, offset: 4093160580
Thread 21 gets started, coreid: 21, offset: 4297818609
Thread 22 gets started, coreid: 22, offset: 4502476638
[cost of second: 2.067, # of PUTs: 7594732]Thread: 0, coreid: 0 is completed!
[cost of second: 2.084, # of PUTs: 7594732]Thread: 1, coreid: 1 is completed!
[cost of second: 2.186, # of PUTs: 7594742]Thread: 22, coreid: 22 is completed!
[cost of second: 2.76, # of PUTs: 7594732]Thread: 18, coreid: 18 is completed!
[cost of second: 2.773, # of PUTs: 7594732]Thread: 16, coreid: 16 is completed!
[cost of second: 2.784, # of PUTs: 7594732]Thread: 17, coreid: 17 is completed!
[cost of second: 2.797, # of PUTs: 7594732]Thread: 6, coreid: 6 is completed!
[cost of second: 2.785, # of PUTs: 7594732]Thread: 19, coreid: 19 is completed!
[cost of second: 2.789, # of PUTs: 7594732]Thread: 20, coreid: 20 is completed!
[cost of second: 2.809, # of PUTs: 7594732]Thread: 5, coreid: 5 is completed!
[cost of second: 2.826, # of PUTs: 7594732]Thread: 2, coreid: 2 is completed!
[cost of second: 2.828, # of PUTs: 7594732]Thread: 3, coreid: 3 is completed!
[cost of second: 2.83, # of PUTs: 7594732]Thread: 4, coreid: 4 is completed!
[cost of second: 2.815, # of PUTs: 7594732]Thread: 21, coreid: 21 is completed!
[cost of second: 2.833, # of PUTs: 7594732]Thread: 7, coreid: 7 is completed!
[cost of second: 2.897, # of PUTs: 7594732]Thread: 15, coreid: 15 is completed!
[cost of second: 2.909, # of PUTs: 7594732]Thread: 8, coreid: 8 is completed!
[cost of second: 2.906, # of PUTs: 7594732]Thread: 13, coreid: 13 is completed!
[cost of second: 2.907, # of PUTs: 7594732]Thread: 14, coreid: 14 is completed!
[cost of second: 2.915, # of PUTs: 7594732]Thread: 10, coreid: 10 is completed!
[cost of second: 2.928, # of PUTs: 7594732]Thread: 9, coreid: 9 is completed!
[cost of second: 2.936, # of PUTs: 7594732]Thread: 11, coreid: 11 is completed!
[cost of second: 2.935, # of PUTs: 7594732]Thread: 12, coreid: 12 is completed!
Time Taken : 2946 millis
Replay Exec Spent 2.94632 sec for txns: 4718791
Throughput : 1.60159e+06 ops/sec
