total size of logs: 6359.02 MB, # of entries:246959986
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 333395973
Thread 2 gets started, coreid: 2, offset: 666791946
Thread 3 gets started, coreid: 3, offset: 1000187919
Thread 4 gets started, coreid: 4, offset: 1333583892
Thread 5 gets started, coreid: 5, offset: 1666979865
Thread Thread 8 gets started, coreid: 8, offset: 2667167784
6 gets started, coreid: 6, offset: 2000375838
Thread 7 gets started, coreid: 7, offset: 2333771811
Thread 9 gets started, coreid: 9, offset: 3000563757
Thread 10 gets started, coreid: 10, offset: 3333959730
Thread 11 gets started, coreid: 11, offset: 3667355703
Thread 12 gets started, coreid: 12, offset: 4000751676
Thread 13 gets started, coreid: 13, offset: 4334147649
Thread 14 gets started, coreid: 14, offset: 4667543622
Thread 15 gets started, coreid: 15, offset: 5000939595
Thread 16 gets started, coreid: 16, offset: 5334335568
Thread 17 gets started, coreid: 17, offset: 5667731541
Thread 18 gets started, coreid: 18, offset: 6001127514
Thread 19 gets started, coreid: 19, offset: 6334523487
[cost of second: 3.33, # of PUTs: 12372117]Thread: 0, coreid: 0 is completed!
[cost of second: 4.338, # of PUTs: 12372117]Thread: 1, coreid: 1 is completed!
[cost of second: 4.359, # of PUTs: 12372117]Thread: 16, coreid: 16 is completed!
[cost of second: 4.373, # of PUTs: 12372117]Thread: 17, coreid: 17 is completed!
[cost of second: 4.38, # of PUTs: 12372117]Thread: 18, coreid: 18 is completed!
[cost of second: 4.386, # of PUTs: 12372123]Thread: 19, coreid: 19 is completed!
[cost of second: 4.724, # of PUTs: 12372117]Thread: 4, coreid: 4 is completed!
[cost of second: 4.734, # of PUTs: 12372117]Thread: 5, coreid: 5 is completed!
[cost of second: 4.749, # of PUTs: 12372117]Thread: 6, coreid: 6 is completed!
[cost of second: 4.781, # of PUTs: 12372117]Thread: 7, coreid: 7 is completed!
[cost of second: 4.781, # of PUTs: 12372117]Thread: 8, coreid: 8 is completed!
[cost of second: 4.796, # of PUTs: 12372117]Thread: 9, coreid: 9 is completed!
[cost of second: 4.807, # of PUTs: 12372117]Thread: 10, coreid: 10 is completed!
[cost of second: 4.816, # of PUTs: 12372117]Thread: 2, coreid: 2 is completed!
[cost of second: 4.82, # of PUTs: 12372117]Thread: 3, coreid: 3 is completed!
[cost of second: 4.827, # of PUTs: 12372117]Thread: 15, coreid: 15 is completed!
[cost of second: 4.835, # of PUTs: 12372117]Thread: 12, coreid: 12 is completed!
[cost of second: 4.834, # of PUTs: 12372117]Thread: 13, coreid: 13 is completed!
[cost of second: 4.842, # of PUTs: 12372117]Thread: 14, coreid: 14 is completed!
[cost of second: 4.856, # of PUTs: 12372117]Thread: 11, coreid: 11 is completed!
Time Taken : 4861 millis
Replay Exec Spent 4.86126 sec for txns: 6553995
Throughput : 1.34821e+06 ops/sec
