total size of logs: 4372.91 MB, # of entries:169827048
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 199362168
Thread 2 gets started, coreid: 2, offset: 398724336
Thread 3 gets started, coreid: 3, offset: 598086504
Thread 4 gets started, coreid: 4, offset: 797448672
Thread 5 gets started, coreid: 5, offset: 996810840
Thread 6 gets started, coreid: 6, offset: 1196173008
Thread 7 gets started, coreid: 7, offset: 1395535176
Thread 8 gets started, coreid: 8, offset: 1594897344
Thread 9 gets started, coreid: 9, offset: 1794259512
Thread 10 gets started, coreid: 10, offset: 1993621680
Thread 11 gets started, coreid: 11, offset: 2192983848
Thread 12 gets started, coreid: 12, offset: 2392346016
Thread 13 gets started, coreid: 13, offset: 2591708184
Thread 14 gets started, coreid: 14, offset: 2791070352
Thread 15 gets started, coreid: 15, offset: 2990432520
Thread 16 gets started, coreid: 16, offset: 3189794688
Thread 17 gets started, coreid: 17, offset: 3389156856
Thread 18 gets started, coreid: 18, offset: 3588519024
Thread 19 gets started, coreid: 19, offset: 3787881192
Thread 20 gets started, coreid: 20, offset: 3987243360
Thread 21 gets started, coreid: 21, offset: 4186605528
Thread 22 gets started, coreid: 22, offset: 4385967696
[cost of second: 2.055, # of PUTs: 7398206]Thread: 0, coreid: 0 is completed!
[cost of second: 2.069, # of PUTs: 7398206]Thread: 1, coreid: 1 is completed!
[cost of second: 2.095, # of PUTs: 7398222]Thread: 22, coreid: 22 is completed!
[cost of second: 2.699, # of PUTs: 7398206]Thread: 16, coreid: 16 is completed!
[cost of second: 2.704, # of PUTs: 7398206]Thread: 20, coreid: 20 is completed!
[cost of second: 2.706, # of PUTs: 7398206]Thread: 19, coreid: 19 is completed!
[cost of second: 2.708, # of PUTs: 7398206]Thread: 17, coreid: 17 is completed!
[cost of second: 2.716, # of PUTs: 7398206]Thread: 18, coreid: 18 is completed!
[cost of second: 2.726, # of PUTs: 7398206]Thread: 21, coreid: 21 is completed!
[cost of second: 2.753, # of PUTs: 7398206]Thread: 2, coreid: 2 is completed!
[cost of second: 2.78, # of PUTs: 7398206]Thread: 6, coreid: 6 is completed!
[cost of second: 2.786, # of PUTs: 7398206]Thread: 5, coreid: 5 is completed!
[cost of second: 2.804, # of PUTs: 7398206]Thread: 7, coreid: 7 is completed!
[cost of second: 2.826, # of PUTs: 7398206]Thread: 3, coreid: 3 is completed!
[cost of second: 2.826, # of PUTs: 7398206]Thread: 4, coreid: 4 is completed!
[cost of second: 2.816, # of PUTs: 7398206]Thread: 15, coreid: 15 is completed!
[cost of second: 2.821, # of PUTs: 7398206]Thread: 13, coreid: 13 is completed!
[cost of second: 2.832, # of PUTs: 7398206]Thread: 9, coreid: 9 is completed!
[cost of second: 2.853, # of PUTs: 7398206]Thread: 8, coreid: 8 is completed!
[cost of second: 2.85, # of PUTs: 7398206]Thread: 12, coreid: 12 is completed!
[cost of second: 2.857, # of PUTs: 7398206]Thread: 11, coreid: 11 is completed!
[cost of second: 2.863, # of PUTs: 7398206]Thread: 10, coreid: 10 is completed!
[cost of second: 2.87, # of PUTs: 7398206]Thread: 14, coreid: 14 is completed!
Time Taken : 2882 millis
Replay Exec Spent 2.88214 sec for txns: 4602667
Throughput : 1.59696e+06 ops/sec
