total size of logs: 5401.18 MB, # of entries:209760966
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 217828683
Thread 2 gets started, coreid: 2, offset: 435657366
Thread 3 gets started, coreid: 3, offset: 653486049
Thread 4 gets started, coreid: 4, offset: 871314732
Thread 5 gets started, coreid: 5, offset: 1089143415
Thread 6 gets started, coreid: 6, offset: 1306972098
Thread 7 gets started, coreid: 7, offset: 1524800781
Thread 8 gets started, coreid: 8, offset: 1742629464
Thread 9 gets started, coreid: 9, offset: 1960458147
Thread 10 gets started, coreid: 10, offset: 2178286830
Thread 11 gets started, coreid: 11, offset: 2396115513
Thread 12 gets started, coreid: 12, offset: 2613944196
Thread 13 gets started, coreid: 13, offset: 2831772879
Thread 14 gets started, coreid: 14, offset: 3049601562
Thread 15 gets started, coreid: 15, offset: 3267430245
Thread 16 gets started, coreid: 16, offset: 3485258928
Thread 17 gets started, coreid: 17, offset: 3703087611
Thread 18 gets started, coreid: 18, offset: 3920916294
Thread 19 gets started, coreid: 19, offset: 4138744977
Thread 20 gets started, coreid: 20, offset: 4356573660
Thread 21 gets started, coreid: 21, offset: 4574402343
Thread 22 gets started, coreid: 22, offset: 4792231026
Thread 23 gets started, coreid: 23, offset: 5010059709
Thread 24 gets started, coreid: 24, offset: 5227888392
Thread 25 gets started, coreid: 25, offset: 5445717075
[cost of second: 2.264, # of PUTs: 8083487]Thread: 0, coreid: 0 is completed!
[cost of second: 2.3, # of PUTs: 8083487]Thread: 1, coreid: 1 is completed!
[cost of second: 2.628, # of PUTs: 8083487]Thread: 24, coreid: 24 is completed!
[cost of second: 2.634, # of PUTs: 8083499]Thread: 25, coreid: 25 is completed!
[cost of second: 3.022, # of PUTs: 8083487]Thread: 2, coreid: 2 is completed!
[cost of second: 3.019, # of PUTs: 8083487]Thread: 18, coreid: 18 is completed!
[cost of second: 3.022, # of PUTs: 8083487]Thread: 19, coreid: 19 is completed!
[cost of second: 3.035, # of PUTs: 8083487]Thread: 23, coreid: 23 is completed!
[cost of second: 3.045, # of PUTs: 8083487]Thread: 20, coreid: 20 is completed!
[cost of second: 3.044, # of PUTs: 8083487]Thread: 21, coreid: 21 is completed!
[cost of second: 3.054, # of PUTs: 8083487]Thread: 17, coreid: 17 is completed!
[cost of second: 3.059, # of PUTs: 8083487]Thread: 22, coreid: 22 is completed!
[cost of second: 3.086, # of PUTs: 8083487]Thread: 5, coreid: 5 is completed!
[cost of second: 3.089, # of PUTs: 8083487]Thread: 4, coreid: 4 is completed!
[cost of second: 3.098, # of PUTs: 8083487]Thread: 13, coreid: 13 is completed!
[cost of second: 3.098, # of PUTs: 8083487]Thread: 14, coreid: 14 is completed!
[cost of second: 3.115, # of PUTs: 8083487]Thread: 7, coreid: 7 is completed!
[cost of second: 3.124, # of PUTs: 8083487]Thread: 6, coreid: 6 is completed!
[cost of second: 3.117, # of PUTs: 8083487]Thread: 16, coreid: 16 is completed!
[cost of second: 3.123, # of PUTs: 8083487]Thread: 15, coreid: 15 is completed!
[cost of second: 3.133, # of PUTs: 8083487]Thread: 12, coreid: 12 is completed!
[cost of second: 3.143, # of PUTs: 8083487]Thread: 3, coreid: 3 is completed!
[cost of second: 3.14, # of PUTs: 8083487]Thread: 11, coreid: 11 is completed!
[cost of second: 3.145, # of PUTs: 8083487]Thread: 9, coreid: 9 is completed!
[cost of second: 3.149, # of PUTs: 8083487]Thread: 10, coreid: 10 is completed!
[cost of second: 3.174, # of PUTs: 8083487]Thread: 8, coreid: 8 is completed!
Time Taken : 3180 millis
Replay Exec Spent 3.18007 sec for txns: 5661561
Throughput : 1.78032e+06 ops/sec
