total size of logs: 4571.91 MB, # of entries:177555347
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 199749753
Thread 2 gets started, coreid: 2, offset: 399499506
Thread 3 gets started, coreid: 3, offset: 599249259
Thread 4 gets started, coreid: 4, offset: 798999012
Thread 5 gets started, coreid: 5, offset: 998748765
Thread 6 gets started, coreid: 6, offset: 1198498518
Thread 7 gets started, coreid: 7, offset: 1398248271
Thread 8 gets started, coreid: 8, offset: 1597998024
Thread 9 gets started, coreid: 9, offset: 1797747777
Thread 10 gets started, coreid: 10, offset: 1997497530
Thread 11 gets started, coreid: 11, offset: 2197247283
Thread 12 gets started, coreid: 12, offset: 2396997036
Thread 13 gets started, coreid: 13, offset: 2596746789
Thread 14 gets started, coreid: 14, offset: 2796496542
Thread 15 gets started, coreid: 15, offset: 2996246295
Thread 16 gets started, coreid: 16, offset: 3195996048
Thread 17 gets started, coreid: 17, offset: 3395745801
Thread 18 gets started, coreid: 18, offset: 3595495554
Thread 19 gets started, coreid: 19, offset: 3795245307
Thread 20 gets started, coreid: 20, offset: 3994995060
Thread 21 gets started, coreid: 21, offset: 4194744813
Thread 22 gets started, coreid: 22, offset: 4394494566
Thread 23 gets started, coreid: 23, offset: 4594244319
[cost of second: 2.046, # of PUTs: 7412589]Thread: 0, coreid: 0 is completed!
[cost of second: 2.09, # of PUTs: 7412589]Thread: 1, coreid: 1 is completed!
[cost of second: 2.696, # of PUTs: 7412589]Thread: 2, coreid: 2 is completed!
[cost of second: 2.752, # of PUTs: 7412589]Thread: 19, coreid: 19 is completed!
[cost of second: 2.763, # of PUTs: 7412589]Thread: 18, coreid: 18 is completed!
[cost of second: 2.769, # of PUTs: 7412589]Thread: 20, coreid: 20 is completed!
[cost of second: 2.776, # of PUTs: 7412589]Thread: 17, coreid: 17 is completed!
[cost of second: 2.783, # of PUTs: 7412589]Thread: 16, coreid: 16 is completed!
[cost of second: 2.797, # of PUTs: 7412589]Thread: 3, coreid: 3 is completed!
[cost of second: 2.784, # of PUTs: 7412589]Thread: 21, coreid: 21 is completed!
[cost of second: 2.801, # of PUTs: 7412589]Thread: 4, coreid: 4 is completed!
[cost of second: 2.81, # of PUTs: 7412589]Thread: 6, coreid: 6 is completed!
[cost of second: 2.795, # of PUTs: 7412589]Thread: 22, coreid: 22 is completed!
[cost of second: 2.818, # of PUTs: 7412589]Thread: 8, coreid: 8 is completed!
[cost of second: 2.825, # of PUTs: 7412589]Thread: 5, coreid: 5 is completed!
[cost of second: 2.817, # of PUTs: 7412589]Thread: 15, coreid: 15 is completed!
[cost of second: 2.826, # of PUTs: 7412589]Thread: 14, coreid: 14 is completed!
[cost of second: 2.832, # of PUTs: 7412589]Thread: 9, coreid: 9 is completed!
[cost of second: 2.838, # of PUTs: 7412589]Thread: 7, coreid: 7 is completed!
[cost of second: 2.824, # of PUTs: 7412600]Thread: 23, coreid: 23 is completed!
[cost of second: 2.849, # of PUTs: 7412589]Thread: 13, coreid: 13 is completed!
[cost of second: 2.881, # of PUTs: 7412589]Thread: 12, coreid: 12 is completed!
[cost of second: 2.884, # of PUTs: 7412589]Thread: 10, coreid: 10 is completed!
[cost of second: 2.92, # of PUTs: 7412589]Thread: 11, coreid: 11 is completed!
Time Taken : 2929 millis
Replay Exec Spent 2.92908 sec for txns: 4816584
Throughput : 1.6444e+06 ops/sec
