total size of logs: 4380.07 MB, # of entries:170104940
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 218706345
Thread 2 gets started, coreid: 2, offset: 437412690
Thread 3 gets started, coreid: 3, offset: 656119035
Thread 4 gets started, coreid: 4, offset: 874825380
Thread 5 gets started, coreid: 5, offset: 1093531725
Thread 6 gets started, coreid: 6, offset: 1312238070
Thread 7 gets started, coreid: 7, offset: 1530944415
Thread 8 gets started, coreid: 8, offset: 1749650760
Thread 9 gets started, coreid: 9, offset: 1968357105
Thread 10 gets started, coreid: 10, offset: 2187063450
Thread 11 gets started, coreid: 11, offset: 2405769795
Thread 12 gets started, coreid: 12, offset: 2624476140
Thread 13 gets started, coreid: 13, offset: 2843182485
Thread 14 gets started, coreid: 14, offset: 3061888830
Thread 15 gets started, coreid: 15, offset: 3280595175
Thread 16 gets started, coreid: 16, offset: 3499301520
Thread 17 gets started, coreid: 17, offset: 3718007865
Thread 18 gets started, coreid: 18, offset: 3936714210
Thread 19 gets started, coreid: 19, offset: 4155420555
Thread 20 gets started, coreid: 20, offset: 4374126900
[cost of second: 2.226, # of PUTs: 8116056]Thread: 0, coreid: 0 is completed!
[cost of second: 2.229, # of PUTs: 8116061]Thread: 20, coreid: 20 is completed!
[cost of second: 2.472, # of PUTs: 8116056]Thread: 1, coreid: 1 is completed!
[cost of second: 2.848, # of PUTs: 8116056]Thread: 17, coreid: 17 is completed!
[cost of second: 2.852, # of PUTs: 8116056]Thread: 16, coreid: 16 is completed!
[cost of second: 2.876, # of PUTs: 8116056]Thread: 19, coreid: 19 is completed!
[cost of second: 2.881, # of PUTs: 8116056]Thread: 18, coreid: 18 is completed!
[cost of second: 3.007, # of PUTs: 8116056]Thread: 3, coreid: 3 is completed!
[cost of second: 3.032, # of PUTs: 8116056]Thread: 4, coreid: 4 is completed!
[cost of second: 3.034, # of PUTs: 8116056]Thread: 2, coreid: 2 is completed!
[cost of second: 3.06, # of PUTs: 8116056]Thread: 5, coreid: 5 is completed!
[cost of second: 3.059, # of PUTs: 8116056]Thread: 12, coreid: 12 is completed!
[cost of second: 3.06, # of PUTs: 8116056]Thread: 13, coreid: 13 is completed!
[cost of second: 3.068, # of PUTs: 8116056]Thread: 11, coreid: 11 is completed!
[cost of second: 3.078, # of PUTs: 8116056]Thread: 6, coreid: 6 is completed!
[cost of second: 3.086, # of PUTs: 8116056]Thread: 10, coreid: 10 is completed!
[cost of second: 3.095, # of PUTs: 8116056]Thread: 15, coreid: 15 is completed!
[cost of second: 3.102, # of PUTs: 8116056]Thread: 7, coreid: 7 is completed!
[cost of second: 3.105, # of PUTs: 8116056]Thread: 14, coreid: 14 is completed!
[cost of second: 3.122, # of PUTs: 8116056]Thread: 9, coreid: 9 is completed!
[cost of second: 3.142, # of PUTs: 8116056]Thread: 8, coreid: 8 is completed!
Time Taken : 3146 millis
Replay Exec Spent 3.14644 sec for txns: 4594463
Throughput : 1.46021e+06 ops/sec
