total size of logs: 5352.67 MB, # of entries:207876897
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 181054062
Thread 2 gets started, coreid: 2, offset: 362108124
Thread 3 gets started, coreid: 3, offset: 543162186
Thread 4 gets started, coreid: 4, offset: 724216248
Thread 5 gets started, coreid: 5, offset: 905270310
Thread 6 gets started, coreid: 6, offset: 1086324372
Thread 7 gets started, coreid: 7, offset: 1267378434
Thread 8 gets started, coreid: 8, offset: 1448432496
Thread 9 gets started, coreid: 9, offset: 1629486558
Thread 10 gets started, coreid: 10, offset: 1810540620
Thread 11 gets started, coreid: 11, offset: 1991594682
Thread 12 gets started, coreid: 12, offset: 2172648744
Thread 13 gets started, coreid: 13, offset: 2353702806
Thread 14 gets started, coreid: 14, offset: 2534756868
Thread 15 gets started, coreid: 15, offset: 2715810930
Thread 16 gets started, coreid: 16, offset: 2896864992
Thread 17 gets started, coreid: 17, offset: 3077919054
Thread 18 gets started, coreid: 18, offset: 3258973116
Thread 19 gets started, coreid: 19, offset: 3440027178
Thread 20 gets started, coreid: 20, offset: 3621081240
Thread 21 gets started, coreid: 21, offset: 3802135302
Thread 22 gets started, coreid: 22, offset: 3983189364
Thread 23 gets started, coreid: 23, offset: 4164243426
Thread 24 gets started, coreid: 24, offset: 4345297488
Thread 25 gets started, coreid: 25, offset: 4526351550
Thread 26 gets started, coreid: 26, offset: 4707405612
Thread 27 gets started, coreid: 27, offset: 4888459674
Thread 28 gets started, coreid: 28, offset: 5069513736
Thread 29 gets started, coreid: 29, offset: 5250567798
Thread 30 gets started, coreid: 30, offset: 5431621860
[cost of second: 1.953, # of PUTs: 6718804]Thread: 2, coreid: 2 is completed!
[cost of second: 1.98, # of PUTs: 6718804]Thread: 1, coreid: 1 is completed!
[cost of second: 1.991, # of PUTs: 6718804]Thread: 0, coreid: 0 is completed!
[cost of second: 1.979, # of PUTs: 6718815]Thread: 30, coreid: 30 is completed!
[cost of second: 2.419, # of PUTs: 6718804]Thread: 3, coreid: 3 is completed!
[cost of second: 2.489, # of PUTs: 6718804]Thread: 24, coreid: 24 is completed!
[cost of second: 2.5, # of PUTs: 6718804]Thread: 27, coreid: 27 is completed!
[cost of second: 2.511, # of PUTs: 6718804]Thread: 25, coreid: 25 is completed!
[cost of second: 2.511, # of PUTs: 6718804]Thread: 28, coreid: 28 is completed!
[cost of second: 2.523, # of PUTs: 6718804]Thread: 29, coreid: 29 is completed!
[cost of second: 2.531, # of PUTs: 6718804]Thread: 26, coreid: 26 is completed!
[cost of second: 2.545, # of PUTs: 6718804]Thread: 17, coreid: 17 is completed!
[cost of second: 2.556, # of PUTs: 6718804]Thread: 6, coreid: 6 is completed!
[cost of second: 2.561, # of PUTs: 6718804]Thread: 18, coreid: 18 is completed!
[cost of second: 2.572, # of PUTs: 6718804]Thread: 7, coreid: 7 is completed!
[cost of second: 2.561, # of PUTs: 6718804]Thread: 23, coreid: 23 is completed!
[cost of second: 2.564, # of PUTs: 6718804]Thread: 20, coreid: 20 is completed!
[cost of second: 2.575, # of PUTs: 6718804]Thread: 16, coreid: 16 is completed!
[cost of second: 2.572, # of PUTs: 6718804]Thread: 19, coreid: 19 is completed!
[cost of second: 2.596, # of PUTs: 6718804]Thread: 5, coreid: 5 is completed!
[cost of second: 2.597, # of PUTs: 6718804]Thread: 4, coreid: 4 is completed!
[cost of second: 2.598, # of PUTs: 6718804]Thread: 21, coreid: 21 is completed!
[cost of second: 2.611, # of PUTs: 6718804]Thread: 9, coreid: 9 is completed!
[cost of second: 2.601, # of PUTs: 6718804]Thread: 22, coreid: 22 is completed!
[cost of second: 2.617, # of PUTs: 6718804]Thread: 14, coreid: 14 is completed!
[cost of second: 2.617, # of PUTs: 6718804]Thread: 15, coreid: 15 is completed!
[cost of second: 2.625, # of PUTs: 6718804]Thread: 13, coreid: 13 is completed!
[cost of second: 2.654, # of PUTs: 6718804]Thread: 10, coreid: 10 is completed!
[cost of second: 2.658, # of PUTs: 6718804]Thread: 8, coreid: 8 is completed!
[cost of second: 2.66, # of PUTs: 6718804]Thread: 12, coreid: 12 is completed!
[cost of second: 2.676, # of PUTs: 6718804]Thread: 11, coreid: 11 is completed!
Time Taken : 2685 millis
Replay Exec Spent 2.68531 sec for txns: 5664456
Throughput : 2.10942e+06 ops/sec
