total size of logs: 3780.66 MB, # of entries:146826093
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 208647603
Thread 2 gets started, coreid: 2, offset: 417295206
Thread 3 gets started, coreid: 3, offset: 625942809
Thread 4 gets started, coreid: 4, offset: 834590412
Thread 5 gets started, coreid: 5, offset: 1043238015
Thread 6 gets started, coreid: 6, offset: 1251885618
Thread 7 gets started, coreid: 7, offset: 1460533221
Thread 8 gets started, coreid: 8, offset: 1669180824
Thread 9 gets started, coreid: 9, offset: 1877828427
Thread 10 gets started, coreid: 10, offset: 2086476030
Thread 11 gets started, coreid: 11, offset: 2295123633
Thread 12 gets started, coreid: 12, offset: 2503771236
Thread 13 gets started, coreid: 13, offset: 2712418839
Thread 14 gets started, coreid: 14, offset: 2921066442
Thread 15 gets started, coreid: 15, offset: 3129714045
Thread 16 gets started, coreid: 16, offset: 3338361648
Thread 17 gets started, coreid: 17, offset: 3547009251
Thread 18 gets started, coreid: 18, offset: 3755656854
[cost of second: 1.932, # of PUTs: 7742785]Thread: 18, coreid: 18 is completed!
[cost of second: 2.039, # of PUTs: 7742783]Thread: 0, coreid: 0 is completed!
[cost of second: 2.289, # of PUTs: 7742783]Thread: 1, coreid: 1 is completed!
[cost of second: 2.504, # of PUTs: 7742783]Thread: 16, coreid: 16 is completed!
[cost of second: 2.526, # of PUTs: 7742783]Thread: 17, coreid: 17 is completed!
[cost of second: 2.812, # of PUTs: 7742783]Thread: 4, coreid: 4 is completed!
[cost of second: 2.836, # of PUTs: 7742783]Thread: 8, coreid: 8 is completed!
[cost of second: 2.853, # of PUTs: 7742783]Thread: 2, coreid: 2 is completed!
[cost of second: 2.85, # of PUTs: 7742783]Thread: 9, coreid: 9 is completed!
[cost of second: 2.849, # of PUTs: 7742783]Thread: 15, coreid: 15 is completed!
[cost of second: 2.86, # of PUTs: 7742783]Thread: 5, coreid: 5 is completed!
[cost of second: 2.863, # of PUTs: 7742783]Thread: 7, coreid: 7 is completed!
[cost of second: 2.871, # of PUTs: 7742783]Thread: 6, coreid: 6 is completed!
[cost of second: 2.864, # of PUTs: 7742783]Thread: 11, coreid: 11 is completed!
[cost of second: 2.867, # of PUTs: 7742783]Thread: 10, coreid: 10 is completed!
[cost of second: 2.877, # of PUTs: 7742783]Thread: 3, coreid: 3 is completed!
[cost of second: 2.872, # of PUTs: 7742783]Thread: 14, coreid: 14 is completed!
[cost of second: 2.88, # of PUTs: 7742783]Thread: 12, coreid: 12 is completed!
[cost of second: 2.885, # of PUTs: 7742783]Thread: 13, coreid: 13 is completed!
Time Taken : 2894 millis
Replay Exec Spent 2.8947 sec for txns: 3970489
Throughput : 1.37164e+06 ops/sec
