total size of logs: 3749.03 MB, # of entries:145597775
Thread Thread 10 gets started, coreid:  gets started, coreid: 01, offset: , offset: 0206902080

Thread 2 gets started, coreid: 2, offset: 413804160
Thread 4 gets started, coreid: 4, offset: 827608320
Thread 3 gets started, coreid: 3, offset: 620706240
Thread 5 gets started, coreid: 5, offset: 1034510400
Thread 6 gets started, coreid: 6, offset: 1241412480
Thread 7 gets started, coreid: 7, offset: 1448314560
Thread 8 gets started, coreid: 8, offset: 1655216640
Thread 9 gets started, coreid: 9, offset: 1862118720
Thread 10 gets started, coreid: 10, offset: 2069020800
Thread 11 gets started, coreid: 11, offset: 2275922880
Thread 12 gets started, coreid: 12, offset: 2482824960
Thread 13 gets started, coreid: 13, offset: 2689727040
Thread 14 gets started, coreid: 14, offset: 2896629120
Thread 15 gets started, coreid: 15, offset: 3103531200
Thread 16 gets started, coreid: 16, offset: 3310433280
Thread 17 gets started, coreid: 17, offset: 3517335360
Thread 18 gets started, coreid: 18, offset: 3724237440
[cost of second: 1.924, # of PUTs: 7678022]Thread: 18, coreid: 18 is completed!
[cost of second: 2.043, # of PUTs: 7678007]Thread: 0, coreid: 0 is completed!
[cost of second: 2.3, # of PUTs: 7678007]Thread: 1, coreid: 1 is completed!
[cost of second: 2.509, # of PUTs: 7678007]Thread: 16, coreid: 16 is completed!
[cost of second: 2.531, # of PUTs: 7678007]Thread: 17, coreid: 17 is completed!
[cost of second: 2.862, # of PUTs: 7678007]Thread: 2, coreid: 2 is completed!
[cost of second: 2.862, # of PUTs: 7678007]Thread: 13, coreid: 13 is completed!
[cost of second: 2.876, # of PUTs: 7678007]Thread: 10, coreid: 10 is completed!
[cost of second: 2.887, # of PUTs: 7678007]Thread: 3, coreid: 3 is completed!
[cost of second: 2.877, # of PUTs: 7678007]Thread: 14, coreid: 14 is completed!
[cost of second: 2.88, # of PUTs: 7678007]Thread: 12, coreid: 12 is completed!
[cost of second: 2.899, # of PUTs: 7678007]Thread: 6, coreid: 6 is completed!
[cost of second: 2.898, # of PUTs: 7678007]Thread: 7, coreid: 7 is completed!
[cost of second: 2.898, # of PUTs: 7678007]Thread: 11, coreid: 11 is completed!
[cost of second: 2.905, # of PUTs: 7678007]Thread: 9, coreid: 9 is completed!
[cost of second: 2.912, # of PUTs: 7678007]Thread: 8, coreid: 8 is completed!
[cost of second: 2.912, # of PUTs: 7678007]Thread: 15, coreid: 15 is completed!
[cost of second: 2.933, # of PUTs: 7678007]Thread: 5, coreid: 5 is completed!
[cost of second: 2.934, # of PUTs: 7678007]Thread: 4, coreid: 4 is completed!
Time Taken : 2935 millis
Replay Exec Spent 2.93516 sec for txns: 3946403
Throughput : 1.34453e+06 ops/sec
