total size of logs: 4396.72 MB, # of entries:170751539
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 209558691
Thread 2 gets started, coreid: 2, offset: 419117382
Thread 3 gets started, coreid: 3, offset: 628676073
Thread 4 gets started, coreid: 4, offset: 838234764
Thread 5 gets started, coreid: 5, offset: 1047793455
Thread 6 gets started, coreid: 6, offset: 1257352146
Thread 7 gets started, coreid: 7, offset: 1466910837
Thread 8 gets started, coreid: 8, offset: 1676469528
Thread 9 gets started, coreid: 9, offset: 1886028219
Thread 10 gets started, coreid: 10, offset: 2095586910
Thread 11 gets started, coreid: 11, offset: 2305145601
Thread 12 gets started, coreid: 12, offset: 2514704292
Thread 13 gets started, coreid: 13, offset: 2724262983
Thread 14 gets started, coreid: 14, offset: 2933821674
Thread 15 gets started, coreid: 15, offset: 3143380365
Thread 17 gets started, coreid: 17, offset: 3562497747
Thread 18 gets started, coreid: 18, offset: 3772056438
Thread 19 gets started, coreid: 19, offset: 3981615129
Thread 16 gets started, coreid: 16, offset: 3352939056
Thread 20 gets started, coreid: 20, offset: 4191173820
Thread 21 gets started, coreid: 21, offset: 4400732511
[cost of second: 2.094, # of PUTs: 7776593]Thread: 0, coreid: 0 is completed!
[cost of second: 2.207, # of PUTs: 7776593]Thread: 1, coreid: 1 is completed!
[cost of second: 2.802, # of PUTs: 7776593]Thread: 16, coreid: 16 is completed!
[cost of second: 2.802, # of PUTs: 7776593]Thread: 19, coreid: 19 is completed!
[cost of second: 2.808, # of PUTs: 7776593]Thread: 18, coreid: 18 is completed!
[cost of second: 2.822, # of PUTs: 7776593]Thread: 17, coreid: 17 is completed!
[cost of second: 2.829, # of PUTs: 7776593]Thread: 20, coreid: 20 is completed!
[cost of second: 2.843, # of PUTs: 7776606]Thread: 21, coreid: 21 is completed!
[cost of second: 2.909, # of PUTs: 7776593]Thread: 4, coreid: 4 is completed!
[cost of second: 2.918, # of PUTs: 7776593]Thread: 3, coreid: 3 is completed!
[cost of second: 2.924, # of PUTs: 7776593]Thread: 2, coreid: 2 is completed!
[cost of second: 2.926, # of PUTs: 7776593]Thread: 5, coreid: 5 is completed!
[cost of second: 2.926, # of PUTs: 7776593]Thread: 6, coreid: 6 is completed!
[cost of second: 2.936, # of PUTs: 7776593]Thread: 7, coreid: 7 is completed!
[cost of second: 2.946, # of PUTs: 7776593]Thread: 14, coreid: 14 is completed!
[cost of second: 2.954, # of PUTs: 7776593]Thread: 15, coreid: 15 is completed!
[cost of second: 2.977, # of PUTs: 7776593]Thread: 8, coreid: 8 is completed!
[cost of second: 2.98, # of PUTs: 7776593]Thread: 12, coreid: 12 is completed!
[cost of second: 2.988, # of PUTs: 7776593]Thread: 11, coreid: 11 is completed!
[cost of second: 3, # of PUTs: 7776593]Thread: 10, coreid: 10 is completed!
[cost of second: 3.001, # of PUTs: 7776593]Thread: 9, coreid: 9 is completed!
[cost of second: 3.002, # of PUTs: 7776593]Thread: 13, coreid: 13 is completed!
Time Taken : 3011 millis
Replay Exec Spent 3.01195 sec for txns: 4622860
Throughput : 1.53484e+06 ops/sec
