total size of logs: 4678.93 MB, # of entries:181711468
Thread 0 gets started, coreid: 0, offset: 0
Thread 1 gets started, coreid: 1, offset: 204425397
Thread 2 gets started, coreid: 2, offset: 408850794
Thread 3 gets started, coreid: 3, offset: 613276191
Thread 4 gets started, coreid: 4, offset: 817701588
Thread 5 gets started, coreid: 5, offset: 1022126985
Thread 6 gets started, coreid: 6, offset: 1226552382
Thread 7 gets started, coreid: 7, offset: 1430977779
Thread 8 gets started, coreid: 8, offset: 1635403176
Thread 9 gets started, coreid: 9, offset: 1839828573
Thread 10 gets started, coreid: 10, offset: 2044253970
Thread 11 gets started, coreid: 11, offset: 2248679367
Thread 12 gets started, coreid: 12, offset: 2453104764
Thread 13 gets started, coreid: 13, offset: 2657530161
Thread 14 gets started, coreid: 14, offset: 2861955558
Thread 15 gets started, coreid: 15, offset: 3066380955
Thread 16 gets started, coreid: 16, offset: 3270806352
Thread 17 gets started, coreid: 17, offset: 3475231749
Thread 18 gets started, coreid: 18, offset: 3679657146
Thread 19 gets started, coreid: 19, offset: 3884082543
Thread 20 gets started, coreid: 20, offset: 4088507940
Thread 21 gets started, coreid: 21, offset: 4292933337
Thread 22 gets started, coreid: 22, offset: 4497358734
Thread 23 gets started, coreid: 23, offset: 4701784131
[cost of second: 2.122, # of PUTs: 7586099]Thread: 0, coreid: 0 is completed!
[cost of second: 2.156, # of PUTs: 7586099]Thread: 1, coreid: 1 is completed!
[cost of second: 2.814, # of PUTs: 7586099]Thread: 16, coreid: 16 is completed!
[cost of second: 2.834, # of PUTs: 7586099]Thread: 2, coreid: 2 is completed!
[cost of second: 2.821, # of PUTs: 7586099]Thread: 17, coreid: 17 is completed!
[cost of second: 2.822, # of PUTs: 7586099]Thread: 19, coreid: 19 is completed!
[cost of second: 2.854, # of PUTs: 7586099]Thread: 18, coreid: 18 is completed!
[cost of second: 2.87, # of PUTs: 7586099]Thread: 6, coreid: 6 is completed!
[cost of second: 2.875, # of PUTs: 7586099]Thread: 7, coreid: 7 is completed!
[cost of second: 2.861, # of PUTs: 7586099]Thread: 22, coreid: 22 is completed!
[cost of second: 2.88, # of PUTs: 7586099]Thread: 4, coreid: 4 is completed!
[cost of second: 2.868, # of PUTs: 7586099]Thread: 21, coreid: 21 is completed!
[cost of second: 2.877, # of PUTs: 7586099]Thread: 20, coreid: 20 is completed!
[cost of second: 2.894, # of PUTs: 7586099]Thread: 3, coreid: 3 is completed!
[cost of second: 2.894, # of PUTs: 7586099]Thread: 5, coreid: 5 is completed!
[cost of second: 2.885, # of PUTs: 7586103]Thread: 23, coreid: 23 is completed!
[cost of second: 2.92, # of PUTs: 7586099]Thread: 9, coreid: 9 is completed!
[cost of second: 2.937, # of PUTs: 7586099]Thread: 8, coreid: 8 is completed!
[cost of second: 2.932, # of PUTs: 7586099]Thread: 11, coreid: 11 is completed!
[cost of second: 2.945, # of PUTs: 7586099]Thread: 10, coreid: 10 is completed!
[cost of second: 2.946, # of PUTs: 7586099]Thread: 13, coreid: 13 is completed!
[cost of second: 2.953, # of PUTs: 7586099]Thread: 12, coreid: 12 is completed!
[cost of second: 2.973, # of PUTs: 7586099]Thread: 14, coreid: 14 is completed!
[cost of second: 2.976, # of PUTs: 7586099]Thread: 15, coreid: 15 is completed!
Time Taken : 2990 millis
Replay Exec Spent 2.9906 sec for txns: 4923324
Throughput : 1.64626e+06 ops/sec
