total size of logs: 5396.04 MB, # of entries:209561521
Thread 0 gets started, coreid: 0, offset: 0
Thread Thread 2 gets started, coreid: 2, offset: 404154360
Thread 3 gets started, coreid: 3, offset: 606231540
1 gets started, coreid: 1, offset: 202077180
Thread 4 gets started, coreid: 4, offset: 808308720
Thread 5 gets started, coreid: 5, offset: 1010385900
Thread 6 gets started, coreid: 6, offset: 1212463080
Thread 7 gets started, coreid: 7, offset: 1414540260
Thread 8 gets started, coreid: 8, offset: 1616617440
Thread 9 gets started, coreid: 9, offset: 1818694620
Thread 10 gets started, coreid: 10, offset: 2020771800
Thread 11 gets started, coreid: 11, offset: 2222848980
Thread 12 gets started, coreid: 12, offset: 2424926160
Thread 13 gets started, coreid: 13, offset: 2627003340
Thread 14 gets started, coreid: 14, offset: 2829080520
Thread 15 gets started, coreid: 15, offset: 3031157700
Thread 16 gets started, coreid: 16, offset: 3233234880
Thread 17 gets started, coreid: 17, offset: 3435312060
Thread 18 gets started, coreid: 18, offset: 3637389240
Thread 19 gets started, coreid: 19, offset: 3839466420
Thread 20 gets started, coreid: 20, offset: 4041543600
Thread 21 gets started, coreid: 21, offset: 4243620780
Thread 22 gets started, coreid: 22, offset: 4445697960
Thread 23 gets started, coreid: 23, offset: 4647775140
Thread 24 gets started, coreid: 24, offset: 4849852320
Thread 25 gets started, coreid: 25, offset: 5051929500
Thread 26 gets started, coreid: 26, offset: 5254006680
Thread 27 gets started, coreid: 27, offset: 5456083860
[cost of second: 2.124, # of PUTs: 7498958]Thread: 1, coreid: 1 is completed!
[cost of second: 2.136, # of PUTs: 7498958]Thread: 0, coreid: 0 is completed!
[cost of second: 2.449, # of PUTs: 7498958]Thread: 2, coreid: 2 is completed!
[cost of second: 2.62, # of PUTs: 7498958]Thread: 26, coreid: 26 is completed!
[cost of second: 2.644, # of PUTs: 7498958]Thread: 24, coreid: 24 is completed!
[cost of second: 2.64, # of PUTs: 7498959]Thread: 27, coreid: 27 is completed!
[cost of second: 2.653, # of PUTs: 7498958]Thread: 25, coreid: 25 is completed!
[cost of second: 2.748, # of PUTs: 7498958]Thread: 3, coreid: 3 is completed!
[cost of second: 2.811, # of PUTs: 7498958]Thread: 20, coreid: 20 is completed!
[cost of second: 2.815, # of PUTs: 7498958]Thread: 18, coreid: 18 is completed!
[cost of second: 2.814, # of PUTs: 7498958]Thread: 21, coreid: 21 is completed!
[cost of second: 2.844, # of PUTs: 7498958]Thread: 19, coreid: 19 is completed!
[cost of second: 2.849, # of PUTs: 7498958]Thread: 13, coreid: 13 is completed!
[cost of second: 2.864, # of PUTs: 7498958]Thread: 4, coreid: 4 is completed!
[cost of second: 2.86, # of PUTs: 7498958]Thread: 10, coreid: 10 is completed!
[cost of second: 2.853, # of PUTs: 7498958]Thread: 22, coreid: 22 is completed!
[cost of second: 2.858, # of PUTs: 7498958]Thread: 17, coreid: 17 is completed!
[cost of second: 2.856, # of PUTs: 7498958]Thread: 23, coreid: 23 is completed!
[cost of second: 2.873, # of PUTs: 7498958]Thread: 5, coreid: 5 is completed!
[cost of second: 2.874, # of PUTs: 7498958]Thread: 8, coreid: 8 is completed!
[cost of second: 2.876, # of PUTs: 7498958]Thread: 11, coreid: 11 is completed!
[cost of second: 2.876, # of PUTs: 7498958]Thread: 16, coreid: 16 is completed!
[cost of second: 2.887, # of PUTs: 7498958]Thread: 7, coreid: 7 is completed!
[cost of second: 2.887, # of PUTs: 7498958]Thread: 6, coreid: 6 is completed!
[cost of second: 2.886, # of PUTs: 7498958]Thread: 9, coreid: 9 is completed!
[cost of second: 2.897, # of PUTs: 7498958]Thread: 15, coreid: 15 is completed!
[cost of second: 2.902, # of PUTs: 7498958]Thread: 12, coreid: 12 is completed!
[cost of second: 2.91, # of PUTs: 7498958]Thread: 14, coreid: 14 is completed!
Time Taken : 2920 millis
Replay Exec Spent 2.92045 sec for txns: 5681892
Throughput : 1.94555e+06 ops/sec
