919122	14.718	62448.84	931725	15.664	59481.93	919466	15.212	60443.47
1538569	15.692	98047.99	1541729	16.077	95896.56	1542204	15.782	97719.17
1919989	14.758	130098.18	1939728	15.119	128297.37	1941838	15.043	129085.82
2189839	15.465	141599.68	2200479	15.329	143550.07	2190258	15.032	145706.36
3042511	18.049	168569.51	3025486	18.49	163628.23	3041024	18.692	162691.2
2819853	15.206	185443.44	2823546	15.215	185576.47	2777100	13.973	198747.58
2669985	12.032	221907.0	2644435	11.645	227087.59	2685319	13.021	206229.86
2529613	11.729	215671.67	2525676	11.713	215630.15	2548363	11.629	219138.62
2566687	11.068	231901.61	2558500	11.18	228846.15	2608248	11.499	226823.9
2618490	10.779	242925.13	2700533	11.279	239430.18	2618309	10.676	245251.87
2677334	10.929	244975.2	2686057	11.177	240320.03	2651188	10.847	244416.71
3506783	13.497	259819.44	3371406	11.202	300964.65	3572633	13.647	261788.89
3534006	12.906	273826.59	3474072	12.235	283945.4	3517797	12.854	273673.33
3538249	10.788	327980.07	3584786	11.06	324121.7	3478379	10.704	324960.67
3442644	10.336	333073.14	3486156	10.48	332648.47	3367984	10.101	333430.75
3483017	14.365	242465.51	3347490	9.884	338677.66	3411568	10.656	320154.65
3522252	10.462	336671.0	3531608	10.508	336087.55	3500421	10.25	341504.49
3615458	9.901	365160.89	3602955	9.729	370331.48	3622661	9.803	369546.16
3677623	9.139	402409.78	3687402	9.747	378311.48	3630455	14.147	256623.67
4483941	11.029	406559.16	4448133	10.938	406667.86	4444150	10.958	405562.15
4532368	14.904	304104.13	4412829	11.166	395202.31	4419142	11.142	396620.18
4605453	11.274	408502.13	4537875	10.984	413135.01	4579411	11.31	404899.29
4454981	10.231	435439.45	4511321	10.615	424994.91	4491571	10.475	428789.59
4578989	17.517	261402.58	4545737	15.442	294374.89	4706375	10.948	429884.45
4606577	11.021	417981.76	4425168	10.549	419486.97	4585651	10.987	417370.62
5309748	12.072	439839.96	5357847	12.101	442760.68	5378299	12.56	428208.52
5416282	11.793	459279.4	5353760	12.385	432277.76	5318604	12.156	437529.12
5534094	11.947	463220.39	5388241	11.29	477257.84	5511623	12.384	445060.0
